iter	RMSE
0	0.9670142767
1	0.9571219605
2	0.9446424895
3	0.9356226117
4	0.9276689898
5	0.9239862013
6	0.9153330567
7	0.908316679
8	0.9014597212
9	0.8957371385
10	0.8911024068
11	0.8837006531
12	0.8779707992
13	0.8731133867
14	0.8693728426
15	0.8646401526
16	0.8629145123
17	0.859725102
18	0.8559184632
19	0.8497150472
20	0.8492903409
21	0.8464540577
22	0.8432183026
23	0.8412534253
24	0.8377482483
25	0.8331992996
26	0.829800134
27	0.8267127159
28	0.8245600681
29	0.8215310891
30	0.8185861024
31	0.8158020206
32	0.8132078227
33	0.8099409181
34	0.8094106552
35	0.8063717892
36	0.8063717842
37	0.8024308939
38	0.801126907
39	0.797668361
40	0.7937775481
41	0.7927590307
42	0.7903457328
43	0.7883947615
44	0.784383983
45	0.7816799122
46	0.7787948433
47	0.7775714
48	0.7750801065
49	0.7733347081
50	0.7699030327
51	0.767202239
52	0.7638055926
53	0.7609720585
54	0.7582412008
55	0.754593626
56	0.7530023973
57	0.7517290724
58	0.7515409535
59	0.7504892164
60	0.7491139113
61	0.747136761
62	0.7442225619
63	0.7432000319
64	0.740765631
65	0.738789882
66	0.7376774536
67	0.7364401064
68	0.7352436297
69	0.7311984776
70	0.7299109513
71	0.7281141157
72	0.7258823115
73	0.7217398365
74	0.7199877151
75	0.71661641
76	0.7136146647
77	0.7118507937
78	0.7094298709
79	0.7083041481
80	0.7070526044
81	0.7052095025
82	0.7042262427
83	0.7020727213
84	0.6998145546
85	0.6971598276
86	0.6936978828
87	0.6913950028
88	0.6884871785
89	0.6871095643
90	0.6866113847
91	0.6850078388
92	0.6829934548
93	0.6811153956
94	0.6788697863
95	0.6767618828
96	0.6754100194
97	0.6751524752
98	0.6743489052
99	0.6733722065
100	0.6711725224
101	0.6706101382
102	0.6694351011
103	0.6677204389
104	0.6670541079
105	0.6656878196
106	0.6642360946
107	0.6634388657
108	0.6628258167
109	0.6614694198
110	0.6602176503
111	0.6586700843
112	0.6583637004
113	0.6577654482
114	0.6551410883
115	0.654834917
116	0.6542964055
117	0.6532058593
118	0.6510363523
119	0.6492978359
120	0.6481638051
121	0.6469253517
122	0.6446823391
123	0.6445924504
124	0.643681947
125	0.6421771983
126	0.6408107529
127	0.6381259629
128	0.6376774814
129	0.6375632866
130	0.6366713598
131	0.6360068509
132	0.6335188818
133	0.632693386
134	0.631273745
135	0.6307534778
136	0.6293080374
137	0.6276036758
138	0.6263444077
139	0.6244237198
140	0.6236863927
141	0.6229892281
142	0.6219993785
143	0.621335019
144	0.6192943001
145	0.6176470156
146	0.6153016101
147	0.6143496053
148	0.6130276601
149	0.6125033576
150	0.6123757016
151	0.6121381902
152	0.6114521336
153	0.6097340911
154	0.6088943808
155	0.6075847684
156	0.6054907615
157	0.6050926743
158	0.6042747892
159	0.6025928015
160	0.6019899224
161	0.6007702237
162	0.5999126748
163	0.598647974
164	0.5983940427
165	0.5971861175
166	0.5957318746
167	0.5953912734
168	0.5947696428
169	0.5944344659
170	0.5927517638
171	0.5905496549
172	0.5893856343
173	0.5889156458
174	0.5883680344
175	0.5868567245
176	0.5861872586
177	0.584517729
178	0.5841543482
179	0.5837064375
180	0.5832453412
181	0.5819993966
182	0.5814822634
183	0.5812018928
184	0.5801608951
185	0.5796295303
186	0.5787312969
187	0.577981457
188	0.577086521
189	0.5759116311
190	0.5756987447
191	0.5751754279
192	0.5749123989
193	0.5742477546
194	0.5732698625
195	0.5719653895
196	0.5704301246
197	0.5681098685
198	0.5671228814
199	0.5660184241
200	0.5643999223
201	0.5635242225
202	0.5631830482
203	0.5607782478
204	0.5601003685
205	0.5591381875
206	0.5582419749
207	0.557805637
208	0.5567821156
209	0.5560545433
210	0.5555314952
211	0.5547632143
212	0.5536950883
213	0.5533849831
214	0.5528685766
215	0.5524490375
216	0.5513971655
217	0.5508939347
218	0.5503423021
219	0.5490710375
220	0.5489302076
221	0.5474656986
222	0.5450548676
223	0.5439626393
224	0.5438772427
225	0.5438134335
226	0.542635029
227	0.542092676
228	0.5415414246
229	0.5402728815
230	0.5395176244
231	0.5393235998
232	0.5381294876
233	0.5373932197
234	0.5363383262
235	0.5360355885
236	0.5358105278
237	0.5339478269
238	0.5337197426
239	0.5320947029
240	0.5318858178
241	0.5308661649
242	0.5308172808
243	0.529833188
244	0.5293134388
245	0.5281501318
246	0.5270665599
247	0.5258339555
248	0.5247757129
249	0.5235266545
250	0.5226029491
251	0.5223113815
252	0.5218610499
253	0.5210250439
254	0.5207849207
255	0.5199082376
256	0.5184775935
257	0.5176434358
258	0.5172243405
259	0.516806051
260	0.5163897829
261	0.5163566665
262	0.5148338956
263	0.5144097968
264	0.5141350084
265	0.5130905832
266	0.5128933207
267	0.5119982671
268	0.5117273294
269	0.5115192334
270	0.5105654269
271	0.5095479834
272	0.5084371733
273	0.5082133957
274	0.5067042423
275	0.5057030262
276	0.5055290901
277	0.5053334944
278	0.5044687938
279	0.5040755595
280	0.5029257268
281	0.5017070477
282	0.5014436674
283	0.5008774924
284	0.5004313644
285	0.5003128004
286	0.4995175155
287	0.4984262409
288	0.498084722
289	0.4970980364
290	0.4962418908
291	0.495379463
292	0.4948072536
293	0.4947252557
294	0.4939533462
295	0.4932863918
296	0.4932746633
297	0.4916558243
298	0.4916247427
299	0.4912131829
300	0.4906308163
301	0.489905546
302	0.4899010962
303	0.4886813579
304	0.488417101
305	0.4882540043
306	0.4873564463
307	0.4872570943
308	0.4869390515
309	0.4866888938
310	0.4863784143
311	0.4855871454
312	0.4845401661
313	0.4837224275
314	0.4825553603
315	0.4824474902
316	0.482282554
317	0.4817294494
318	0.4810563243
319	0.4800123456
320	0.4792268139
321	0.4790414724
322	0.4782746954
323	0.4777207743
324	0.4776053354
325	0.4775413274
326	0.4771769355
327	0.4764802542
328	0.4759732648
329	0.4754337515
330	0.4750268469
331	0.4738771542
332	0.4729162426
333	0.4713303478
334	0.4711915405
335	0.4706564892
336	0.4705560317
337	0.4698566465
338	0.4688937145
339	0.4678864273
340	0.4667061031
341	0.4659912051
342	0.4652819649
343	0.4652756569
344	0.4646866581
345	0.4642481803
346	0.4640511623
