iter	Passed	Remaining
0	181	90726
1	218	54449
2	257	42599
3	300	37211
4	337	33407
5	352	29010
6	391	27544
7	428	26352
8	466	25450
9	503	24682
10	545	24247
11	587	23910
12	636	23846
13	683	23712
14	731	23646
15	796	24095
16	845	24024
17	906	24261
18	951	24078
19	998	23963
20	1012	23095
21	1064	23131
22	1117	23184
23	1168	23166
24	1216	23117
25	1264	23059
26	1311	22979
27	1369	23078
28	1417	23018
29	1462	22914
30	1512	22885
31	1561	22835
32	1599	22633
33	1646	22566
34	1690	22463
35	1744	22478
36	1751	21921
37	1804	21942
38	1854	21925
39	1908	21945
40	1972	22084
41	2020	22030
42	2066	21967
43	2116	21930
44	2169	21932
45	2225	21962
46	2274	21922
47	2325	21897
48	2384	21943
49	2442	21981
50	2502	22028
51	2553	22003
52	2603	21957
53	2643	21836
54	2683	21710
55	2724	21597
56	2768	21520
57	2808	21399
58	2838	21218
59	2878	21108
60	2915	20979
61	2952	20858
62	2992	20760
63	3031	20652
64	3068	20533
65	3104	20415
66	3141	20300
67	3180	20205
68	3218	20103
69	3257	20011
70	3293	19900
71	3329	19790
72	3367	19699
73	3406	19609
74	3443	19511
75	3479	19413
76	3518	19326
77	3554	19232
78	3590	19136
79	3627	19043
80	3663	18949
81	3702	18873
82	3740	18791
83	3776	18700
84	3812	18612
85	3849	18532
86	3886	18451
87	3928	18393
88	3972	18342
89	4011	18276
90	4048	18195
91	4085	18116
92	4121	18038
93	4159	17964
94	4197	17892
95	4236	17829
96	4277	17772
97	4318	17713
98	4356	17646
99	4393	17572
100	4429	17499
101	4465	17425
102	4501	17349
103	4539	17283
104	4574	17210
105	4610	17138
106	4646	17066
107	4682	16997
108	4721	16936
109	4757	16869
110	4794	16802
111	4831	16737
112	4868	16673
113	4903	16604
114	4940	16538
115	4975	16470
116	5011	16404
117	5048	16344
118	5084	16280
119	5120	16215
120	5156	16150
121	5194	16094
122	5236	16050
123	5273	15990
124	5310	15930
125	5347	15873
126	5384	15813
127	5420	15752
128	5456	15693
129	5492	15633
130	5528	15572
131	5565	15516
132	5601	15456
133	5637	15397
134	5673	15338
135	5712	15290
136	5749	15233
137	5785	15175
138	5823	15124
139	5861	15072
140	5898	15019
141	5937	14969
142	5976	14920
143	6015	14872
144	6057	14830
145	6102	14796
146	6144	14755
147	6187	14715
148	6227	14671
149	6268	14625
150	6313	14591
151	6359	14560
152	6404	14526
153	6448	14488
154	6491	14449
155	6535	14412
156	6574	14362
157	6611	14311
158	6648	14259
159	6687	14211
160	6726	14162
161	6763	14110
162	6798	14056
163	6835	14004
164	6888	13985
165	6933	13950
166	6980	13919
167	7026	13884
168	7073	13854
169	7129	13839
170	7179	13813
171	7230	13789
172	7281	13763
173	7331	13735
174	7382	13710
175	7432	13682
176	7496	13680
177	7549	13657
178	7601	13632
179	7667	13631
180	7713	13595
181	7762	13562
182	7813	13534
183	7868	13514
184	7918	13482
185	7968	13452
186	8016	13418
187	8073	13397
188	8130	13378
189	8199	13377
190	8260	13363
191	8312	13334
192	8367	13309
193	8415	13273
194	8464	13239
195	8511	13201
196	8565	13174
197	8606	13127
198	8656	13093
199	8701	13052
200	8748	13014
201	8789	12967
202	8847	12943
203	8901	12916
204	8949	12878
205	9005	12852
206	9044	12802
207	9083	12752
208	9125	12706
209	9166	12658
210	9209	12613
211	9247	12562
212	9286	12512
213	9323	12460
214	9360	12408
215	9397	12356
216	9434	12303
217	9470	12251
218	9506	12198
219	9544	12147
220	9580	12094
221	9616	12041
222	9651	11989
223	9689	11938
224	9730	11892
225	9765	11839
226	9801	11788
227	9838	11736
228	9874	11685
229	9909	11633
230	9946	11582
231	9981	11530
232	10017	11478
233	10051	11426
234	10087	11375
235	10123	11324
236	10158	11272
237	10196	11224
238	10234	11176
239	10271	11127
240	10310	11080
241	10346	11030
242	10383	10981
243	10419	10931
244	10454	10881
245	10491	10832
246	10526	10782
247	10561	10731
248	10597	10682
249	10633	10633
250	10670	10585
251	10708	10538
252	10745	10490
253	10782	10443
254	10821	10396
255	10857	10348
256	10894	10301
257	10930	10252
258	10966	10204
259	11002	10156
260	11039	10108
261	11075	10060
262	11110	10012
263	11146	9964
264	11186	9920
265	11223	9873
266	11261	9827
267	11299	9781
268	11336	9735
269	11372	9687
270	11408	9640
271	11445	9593
272	11481	9546
273	11517	9500
274	11553	9452
275	11590	9406
276	11625	9359
277	11663	9314
278	11702	9269
279	11738	9223
280	11781	9181
281	11818	9136
282	11855	9090
283	11890	9043
284	11926	8996
285	11961	8950
286	11998	8904
287	12034	8858
288	12070	8812
289	12106	8767
290	12144	8722
291	12183	8678
292	12238	8646
293	12295	8615
294	12349	8581
295	12401	8546
296	12442	8504
297	12481	8460
298	12519	8416
299	12561	8374
300	12598	8329
301	12636	8285
302	12678	8243
303	12715	8198
304	12752	8153
305	12791	8109
306	12835	8068
307	12874	8025
308	12913	7982
309	12958	7942
310	13004	7902
311	13059	7869
312	13098	7825
313	13137	7782
314	13177	7739
315	13215	7695
316	13252	7650
317	13290	7606
318	13328	7562
319	13367	7519
320	13408	7477
321	13445	7432
322	13481	7387
323	13517	7343
324	13553	7298
325	13589	7253
326	13625	7208
327	13664	7165
328	13701	7121
329	13739	7078
330	13775	7033
331	13812	6989
332	13849	6945
333	13887	6902
334	13922	6857
335	13958	6813
336	13993	6768
337	14028	6723
338	14064	6679
339	14099	6634
340	14139	6593
341	14179	6550
342	14215	6506
343	14251	6462
344	14287	6419
345	14323	6375
346	14358	6331
347	14396	6288
348	14431	6244
349	14467	6200
350	14502	6156
351	14538	6112
352	14613	6085
353	14667	6049
354	14705	6006
355	14743	5963
356	14779	5920
357	14817	5877
358	14853	5833
359	14892	5791
360	14929	5748
361	14969	5706
362	15005	5663
363	15042	5620
364	15078	5576
365	15114	5533
366	15155	5492
367	15191	5449
368	15227	5406
369	15291	5372
370	15347	5336
371	15385	5294
372	15426	5252
373	15464	5209
374	15503	5167
375	15540	5125
376	15576	5082
377	15613	5039
378	15652	4997
379	15688	4954
380	15725	4911
381	15768	4871
382	15806	4828
383	15842	4785
384	15877	4742
385	15915	4700
386	15951	4657
387	15986	4614
388	16023	4572
389	16059	4529
390	16094	4486
391	16130	4444
392	16169	4402
393	16206	4360
394	16243	4317
395	16278	4275
396	16315	4233
397	16350	4190
398	16385	4147
399	16423	4105
400	16459	4063
401	16495	4021
402	16533	3979
403	16572	3938
404	16614	3897
405	16658	3856
406	16714	3819
407	16756	3778
408	16839	3746
409	16887	3707
410	16962	3673
411	17016	3634
412	17062	3594
413	17108	3553
414	17163	3515
415	17232	3479
416	17284	3440
417	17327	3399
418	17368	3357
419	17411	3316
420	17466	3277
421	17509	3236
